㒵	かお
住	じゅう,ぢゅう,ちゅう,す,ず
佐	さ
佑	ゆう,う,たす
佒	よう,おう,あお,あおむ,たの
体	たい,てい,からだ,かたち
佔	ちん,せん,てん,みる,うかが,し
何	か,なに,なん
佖	ひつ,びち,ただ,なら
佗	た,い,わび,ほか,わ
佘	しゃ
余	よ,あま,あんま
佚	いつ,てつ,たのし,のが
佛	ぶつ,ふつ,ほとけ
作	さく,さ,つく,づく
佝	こう,く,せむし
佞	ねい,おもね,よこしま
佟	とう,ず
你	じ,に,なんじ,しかり,その,のみ
佣	よう
佩	はい,は,お,おびだま
佪	かい,え,さまよ
佬	りょう,ろ,ろう,おお
佮	こう,あ
佯	よう,いつわ
佰	ひゃく,はく,おさ
佱	ほう,ふらん,のり
佳	か
併	へい,あわ
佶	きつ,きち
佷	こん,こう,ぎん,もと
佸	かつ,がち,あ,あつ,つと,いた
佹	き,かさ,よ,もと,ささ
佺	せん
佻	ちょう,じょう,よう,かる
佼	きょう,こう,うつく
佽	し,すばしこい,なら,たす,およ,かわるがわる
佾	いつ,いち,やす
使	し,つか,づか
侁	しん,い,つか
侂	たく,よ,たの
侃	かん,つよ
侄	しつ,しち,てつ,かた,おろ,とど
侅	かい,むせ
來	らい,たい,く,きた,き
侈	し,おご
侉	か,け,あ,おご,ほこ
侊	こう,さかん
例	れい,たと
侌	いん,かげ
侍	じ,し,さむらい,はべ
侎	び,み,いつく
侏	しゅ
侐	きょく,けき,き,しず,さび
侑	ゆう,う,すす,たす
侒	あん,やす
侓	ろつ,ろち,おお
侔	ぼう,む,ひと,そろ,したが,つと
侖	りん,ろん,おも
侗	とう,つ,ず,おろ,いた,かたち
侘	た,わび,ほこ,わ
侙	ちょく,ちき,おそ
侚	しゅん,すみ,しめ,とな,ふか,つか
供	きょう,く,くう,ぐ,そな,とも
依	い,え,よ
侞	じょ,にょ,ひと,したがえな
侟	せん
侠	きょう,きゃん,おとこだて
価	か,け,あたい
侫	ねい,おもね,よこしま
侭	じん,まま,ことごとく
侮	ぶ,あなど,あなず
侯	こう
侲	しん,わらべ,よいわらべ,うまかい,はした
侵	しん,おか
侶	りょ,ろ,とも
侷	きょく,ごく,たけがひく,せま
侹	てい,じょう,ちょう,おとこぎ,なおい,つつし
侻	たつ,たち,たい,て,かなう,よい
侼	ほつ,ぼち,つよ,うら
侽	だん,なん,おとこ,お
侾	こう,きょう,おお
便	べん,びん,たよ
俀	たい,て,よわ
俁	ぐ,おお
係	けい,かか,かかり,がかり
促	そく,うなが
俄	が,にわか
俅	きゅう,ぐ,いただ
俆	しょ,ゆる,おそい
俈	こく
俉	ご,むか,あ
俊	しゅん
俋	ちゅ,ちゅう,じゅう,ゆう,たがや
俌	ほ,ふ,たす
俍	りょう,ろう,さまよ
俎	そ,しょ,いた,まないた
俏	しょう,に,かたど,みめよい,やつ
俐	り,かしこ
俑	よう,とう,ゆう
俒	こん,かん,まったし,けが
俔	けん,たと,うかが
俗	ぞく
俘	ふ,とりこ
俚	り,いや
俛	ふ,べん,めん
俜	へい,びょう,つか,おとこだて
保	ほ,ほう,たも
俟	し,ま
俠	きょう,きゃん,おとこだて
信	しん
俢	しゅう,しゅ,おさ
俣	また
俤	おもかげ
俥	くるま
修	しゅう,しゅ,おさ
俯	ふ,うつむ
俰	か,わ,やわ
俱	く,ともに
俲	こう,なら
俳	はい
俵	ひょう,たわら
俶	しゅく,てき,はじめ,よい
俸	ほう
俺	えん,おれ,われ
俼	いく,しゅく,かゆ,かい,ひさ
俽	きん,こん,よろこ
俾	ふ,ひ,へい,かしずく,しむ
俿	ち,じ,かたたが
倀	ちょう,とう,じょう,くる,たお
倁	ち,じ,ゆ
倂	へい,あわせる,ならぶ,しかし
倄	こう,ぎょう,かい,え,もと,そこ
倅	さい,そつ,そち,せがれ
倆	りょう,たくみ
倇	えん,おん,たの,よろこ,すす
倉	そう,くら
倊	そう,す,くる
個	こ,か
倌	かん,とねり
倍	ばい
倎	てん,あつ
倏	しゅく,たちまち
倐	しゅく
們	もん,ともがら
倒	とう,たお,だお,さかさま,さかさ,さかしま
倓	たん,やす,しず
倔	くつ,つよ
倖	こう,しあわ,さいわ
倗	ほう,たす,ゆだ,よ
倘	しょう,とう,もし,たちもとお
候	こう,そうろう
倚	い,き,よ,たの
倛	き,あざむ
倜	てき,ちゃく,ちゅう,すぐ,おろ,そむ
倝	かん,かがや
倞	けい,きょう,りょう,おう,こう,つよ
借	しゃく,か
倡	しょう,とな,わざおぎ
倢	しょう,さとい,すこ,はや
倣	ほう,なら
値	ち,ね,あたい
倥	こう,ぬか
倦	けん,あき,あぐ,う,つか
倧	そう,す
倨	きょ,こ,おご
倩	せん,せい,つらつら,うつく
倪	げい,がい,きわ
倫	りん
倬	たく
倭	わ,い,やまと,したが
倮	ら,か,げ,はだか,せま,かたぬ
倰	りょう,ろう,おか,あざむ,なが
倲	とう,つ,おろか
倳	し,さ,さしこ,お
倵	ぶ,む
倶	ぐ,く,とも
倹	けん,つま,つづまやか
倻	や
偀	えい,はなぶさ
偁	しょう,あ
偂	せん,すす
偃	えん,ふ
偅	しょう,しゅ,とう,こども
偆	しゅん,ちゅん,あつ,うごめ,と
假	か,け,かり
偈	げ,けつ,けい,いこ
偉	い,えら
偊	う,く,くぐ,つつし
偌	じゃ,にゃ,このような,このように
偎	わい,え,ほの,なじ,した,ちかよ
偏	へん,かたよ
偐	げん,がん
偑	ふう,ふ
偒	とう,まっす
偓	あく,かか
偕	かい,ともに
偖	しゃ,さて
偗	せい,しょう,まっすぐ
偙	てい,たい,すぐ,くる
做	さ,さく,そ,な,つく
停	てい,と
偟	こう,おう,たたず,さまよ,たちもとお,いとま
偠	よう,しなや,たおや
偢	しょう,いつく,うれ
偣	えん,あん,きよ
健	けん,すこ
偦	しょ,とお
偧	た,は
偪	ふく,ひつ,ひょく,ひき,せま,むかばき
偬	そう,くる
偭	べん,めん,む,そむ,かな
偰	せつ,せち,きよ
偱	しゅん,の
偲	さい,し,しの
側	そく,かわ,がわ,そば
偵	てい
偶	ぐう,たま
偸	つ,とう,ちゅう,ぬす
偽	ぎ,か,いつわ,にせ
傀	かい,おおき
傁	そう,す,おきな
傃	そ,む,まも
傄	かつ,けち,すこ
傅	ふ,かしず,つく,もり
傆	げん,かん,こざか
傈	りつ,りち
傊	いん,まさ,ゆたか
傍	ぼう,かたわ,わき,おか,はた,そば
傎	てん,さかさま,くる
傏	とう,おご
傐	こう
傑	けつ,すぐ
傒	けい,あやう,つな
傓	せん,さかん
傔	けん,したが,はべ,つか
傕	かく
傖	しょう,そう,いや
傘	さん,かさ
備	び,そな,つぶさ
傚	こう,なら
傛	よう,ゆ,かが
傜	よう,えだち,ふぞろ,つか
傞	さ
傟	おう,もと
傠	はつ,か,ぼち,き,そむ,う
傡	へい,ほう,な,なら
