㒵	かお
愨	かく,つつし,まこと
愪	うん,いん,うれ,うご
愫	そ,まこと
愬	そ,さく,うった
愰	おう,こう,さとい
愱	しつ,しち,くる
愴	そう,いたま,いた
愵	でき,にゃく,うれ
愶	きょう,こう,おびや
愷	かい,たの
愹	よう,いか,よろこ,み
愼	しん,つつし
愽	たん
愾	がい,き,け,きつ,ためいき
愿	げん,つつし
慁	こん,うれ
慂	よう,すす
慄	りつ,ふる,おそ,おのの
慅	そう,しょう,うご
慆	たく,とう,よろこ
慇	いん
慈	じ,いつく
慉	きく,きん,きょう,おこ
慊	けん,きょう,あきたりる,うら
態	たい,わざ
慌	こう,あわ
慍	うん,おん,いか,うら
慎	しん,つつし,つつ
慓	ひょう
慕	ぼ,した
慘	さん,みじ,いた,むご
慙	ざん,はじ
慚	ざん,はじ
慝	とく,わる
慞	しょう,おそ
慟	どう,とう,なげ
慠	ごう,おご,うれ
慢	まん
慣	かん,な
慥	ぞう,たし
慧	けい,え,さとい
慨	がい,なげ
慫	しょう,すす
慬	きん,こん,かな
慮	りょ,おもんぱく,おもんぱか
慯	しょう
慰	い,なぐさ
慱	たん
慲	ばん,まん,わす
慳	けん,かん,おし
慴	しゅう,しょう,おそ
慵	よう,しょう,ものうい
慶	けい,よろこ
慷	こう,なげ
慸	てい,せい,たい,たか,きわ,おと
慻	けん,かえり
慼	せき,しゃく,しゅく,うれ
慾	よく
慿	ひょう,つ,つか,よ,たの
憀	りょう,りゅう,る
憁	そう
憂	ゆう,うれ,う
憃	とう,しょう,しゅ,ちょう,ちゅ,おろ
憄	ち,ほどこ
憇	けい,いこ
憊	はい,へい,つか
憋	へつ,へち,せっかち
憍	きょう,ほしいまま
憎	ぞう,にく
憐	れん,あわ
憑	ひょう,つ,つか,よ,たの
憒	かい,みだ
憓	けい,え,いつく
憔	しょう,せう,そう,やつ,やせ
憖	ぎん,きん,なまじ
憗	きん,なまじ
憘	き,よろこ,ああ,この
憙	き,よろこ,ああ,この
憚	たん,た,はばか
憜	た,だ,つつしまない
憝	たい,ずい,うら
憟	しょく,そく,へつら
憠	けつ,つよ
憤	ふん,いきどお
憥	ろう,くる
憧	しょう,とう,どう,あこが
憨	かん,おろ
憩	けい,いこ
憪	かん,げん,たの
憫	びん,みん,あわれ,うれ
憬	けい,あこが
憭	りょう,さとい
憮	ぶ,こ,いつくし
憲	けん
憶	おく
憸	せん,けん,かたよ
憹	どう,ぬ,にょう,のう,こころみだ,なや
憺	たん
憼	けい,きょう,こう,つつし
憾	かん,うら
懀	わい,え,わつ,わち,にく,もだ
懁	けん,かん,はげ
懂	とう,つ,みだ
懃	きん,ごん,ねんごろ
懆	そう
懇	こん,ねんご
懈	け,かい,たわ,おこた
應	おう,よう,あた,まさに,こた
懊	おう,じれった,なや
懋	ぼう,し,つと
懌	えき,よろこ
懍	りん,らん
懎	しょく,しき,うら,かな
懏	しゅん,さとい
懐	かい,え,ふところ,なつ,なず,いだ
懕	えん,よう,やす,た,ゆる
懜	ぼう,もう,む,くら
懝	がい,ぎ,ぎょく,ごき,おろ,おそ
懞	ぼう,む,あつ
懟	つい,ずい,たい,うら
懡	ば,ま
懢	らん,かん,げん,むさぼ,すこ
懣	まん,もん,もだ
懥	ち
懦	だ,じゅ,ぜん,よわ
懧	だ,じゅ,ぜん,よわ
懩	よう,ねが
懬	こう,ひろ,おお,むな,つよ
懭	こう,うら
懯	ふ,おも
懲	ちょう,こ
懴	ざん,さん,くい
懶	らん,らい,ものうい,おこたる
懷	かい,え,ふところ,なつ,いだ,おも
懸	けん,け,か
懺	ざん,さん,くい
懼	く,おそ
懽	かん,よろこ
懾	しょう,おそ
懿	い,よい
戀	れん,こ,こい
戁	だん,ねん,ぜん,つつし
戃	とう,しょう,おどろ
戄	きゃく,しょう,おどろ
戇	とう,ちゅう,しゅ,こう,く,おろ
戈	か,ほこ,ほこづくり
戉	じゅう,えつ,えびす,まさかり
戊	ぼ,ぼう,つちのえ
戌	じゅつ,いぬ
戍	じゅ,しゅ,まもり,まも
戎	じゅう,えびす,つわもの
成	せい,じょう,な
我	が,われ,わ,わが
戒	かい,いまし
戓	か
戔	せん,さん
戕	しょう,さん,そう,ころ
或	わく,こく,いき,あ,あるい,あるいは
戚	そく,せき,いた,うれ,みうち
戛	かつ,ほこ
戜	てつ,でち,するど,き
戝	ざい,さい,ぞく
戞	かつ,ほこ
戟	げき,ほこ
戠	しょく,しき,し
戡	かん,ちん,かつ,さす
戢	しゅう,おさ
戣	き,ほこ
戦	せん,いくさ,たたか,おのの,そよ,わなな
戧	そう,しょう,つく,はじ,きず
戩	せん,ほろ
截	せつ,さい,き,た
戫	よく,いき,はや
戮	りく,りゅう,ろく,きょう,く,ころ
戯	ぎ,げ,たわむ,ざ,じゃ
戰	せん,いくさ,たたか,おのの,そよぐ
戲	ぎ,げ,たわむ
戳	たく
戴	たい,いただ
戸	こ,と
戹	あく,せく,せま
戻	れい,もど
戽	こ,く,あかくみ
戾	れい,らい,もどす,もとる,いたる
房	ぼう,ふさ
所	しょ,ところ,どころ,とこ
扁	へん,ひらたい
扂	てん,かんぬき,とざし
扃	けい,きょう,へん,かんぬき,とびら
扄	しょう
扆	い,え,ついたて
扇	せん,おうぎ
扈	こ,したが
扉	ひ,とびら
手	しゅ,ず,て,た
扌	しゅ
才	さい
扎	さつ,あつ
扐	ろく,りょく,りき
扑	ぼく,はく,ほう,ふ,かるくう,むちう
扒	はい,はつ,はち,ぬ,さば
打	だ,だあす,う,ぶ
扔	じょう,にょう,よ,ふ,す
払	ふつ,ひつ,ほつ,はら,ばら
扖	は,しぼ
托	たく,たの
扚	ちょう,てき,ちゃく,しゃく,はやくうつ
扛	こう,あ
扜	う,く,さしまね
扞	かん,ふせ
扠	さ,さて
扣	こう,たた,ひか
扤	ごつ,ごち,げつ,がち,うご
扨	さ,さて
扭	じゅう,にゅ,ちゅう,ちゅ,ねじまわ
扮	ふん,はん,へん,やつ,よそお
扯	た,しゃ,ひ
扱	そう,きゅう,あつか,こ
扳	はん,ひ,さ,ひきとめる
扶	ふ,たす
批	ひ
扺	し,てい,あ
扼	やく,あく,おさ
扽	とん,ひ
找	そう
承	しょう,じょう,うけたまわ,う
技	ぎ,わざ
抂	きょう,ごう
抃	べん,う
抄	しょう
抉	けつ,えぐ,こじ,くじ
把	は,わ
抍	しょう,あ,ぬ,すく,と
抎	うん,いん,うしな,お
抏	がん,くじく
抐	どつ,なち,どん,そん,どう,そ
抑	よく,おさ
抒	じょ,しょ,く,の
抓	そう,つ,つね,つま
抔	ほう,はい,など,すく
投	とう,な
抖	と,とう
抗	こう,あらが
折	せつ,しゃく,お,おり
抛	ほう,なげう
抜	ばつ,はつ,はい,ぬ
択	たく,えら
抦	へい,ひょう,も
抨	ほう,ひょう,はじ
披	ひ
抬	たい,もた
抱	ほう,だ,いだ,かか
抳	じ,に,でい,ない,と
抵	てい
抶	ちつ,ちち,むちう
抷	ひ,ひら
抹	まつ
抺	ばい,め,まい,さぐ
抻	しん,ちん
押	おう,お,おさ
抽	ちゅう,ひき
抾	きょ,こ,きょう,こう,と
抿	びん,みん,な
拂	ひつ,ふつ,ほつ,はら
拄	ちゅ,あ
担	たん,かつ,にな
拆	たく,せき,さく,ひらく
拇	ぼ,おやゆび
拈	ねん,せん,でん,ひね
拉	らつ,ら,ろう,らっ,ひし,くだ
拊	ふ,は,うつ,な
拌	はん
拍	はく,ひょう
拎	れい,りょう,か
拏	だ,な,つか,ひ
拐	かい
拑	かん,けん,つぐ
拒	きょ,ご,こば
拓	たく,ひら
拔	ばつ,はい,ぬ
拕	た,い,ひ
拖	た,い,ひ
拗	おう,よう,いく,ゆう,ねじ,こじ
拘	こう,かか
拙	せつ,つたな
拚	へん,ふん
招	しょう,まね
拜	はい,おが,おろが
拝	はい,おが,おろが
拠	きょ,こ,よ
拡	かく,こう,ひろ
拪	せん,い,うつ
括	かつ,くく
拭	しょく,しき,ぬぐ,ふ
拮	かつ,けつ,きつ,はたら
拯	しょう,じょう,すく
拱	きょう,こう,こまぬ,こまね
拲	きょう,く,きょく,こく,きく,てかせ
拳	けん,げん,こぶし
拴	せん,えら
拵	そん,こしら
拶	さつ,せま
拷	ごう
拼	ほう,へい,ひょう,したが
拽	えい,えつ,えち,せい,ひ
拾	しゅう,じゅう,ひろ
拿	だ,な,つか,ひ
持	じ,も
挂	けい,かい,け,か
挃	ちつ,じち,てつ,でち,さ
挄	かく,こう,ひろ
指	し,ゆび,さ
挈	けい,けつ,ひっさ
按	あん,おさ,しら
挊	ろう,る,いじく,いじ,ひねく,たわむ
挋	しん,きん,こん,たす
挌	かく,う
挍	こう,きょう,はか
挐	だ,じょ,ひ
挑	ちょう,いど
挓	た,ひら
挖	あつ,あち,あば
挘	むし,むしりと
挙	きょ,あ,こぞ
挟	きょう,しょう,はさ,わきばさ,さしはさ
挧	う,とち
挨	あい,ひら
挩	たつ,たち,せい,えい,とく
挪	だ,な,も
挫	ざ,さ,くじ
挭	こう,きょう,みだ
振	しん,ふ
挵	ろう,る,いじく,いじ,ひねく,たわむ
挶	きょく,こく,ささ,も
挹	ゆう,おう,く
挺	ちょう,てい,ぬ
挼	だ,な,だい,ない,お
挽	ばん,ひ
挾	きょう,しょう,はさ,わきばさ,さしはさ
挿	そう,さ,はさ
捁	かく,こう,みだ
捂	ご,ふ
捃	くん,ひろ
捄	く,きゅう,も
捆	こん,ととの
捉	そく,さく,とら
捊	ほう,ふう,ふ,かきあつ
捋	らつ,らち,れつ,れち,と
捌	はつ,はち,べつ,さば,は
捍	かん,ふせ
捎	そう,しょう,と
捏	ねつ,てつ,ねち,こ,ね,つく
捐	えん,す
捒	しょう,しゅ,そ,す,しょく,そく
捓	よ,や,もてあそ
捔	かく,さく,と
捕	ほ,と,とら,つか
捗	ちょく,ほ,はかど
捘	そん,しゅん,お
捛	りょ,とも
捜	そう,しゅ,しゅう,さが
捥	わん,うつ,うち,うで,も,もぎ
捦	きん,ごん,かたくと
捧	ほう,ささ
捨	しゃ,す
捩	れい,れつ,よじ,ね,ねじ,もじ
捫	もん,な
捬	ふ,ほう,な
捭	はい,は,へい
据	きょ,す
捱	がい,げ,ふせ
捲	けん,ま,まく,めく
捴	ふん,そう
捵	てん,ちん,ねん,の
捶	すい,むちう
捷	しょう,そう,はや
捸	とつ,とち,なめ
捺	なつ,だつ,さ,お
捻	ねん,じょう,ね,ねじ,ひね
捼	だ,な,だい,ない,お
捽	そつ,そち,ちゅつ,じゅち,さい,すい
捿	せい,す
掀	きん,けん
掂	てん,はか
掃	そう,しゅ,は
掄	ろん,りん,えら
掇	たつ,たち,てつ,てち,せつ,せち
授	じゅ,さず
掉	とう,ちょう,ふる
掊	ほう,ぶ,ふう,か
掌	しょう,てのひら,たなごころ
掎	き,ひ
掏	とう,す,えら
掐	こう,きょう,つま
排	はい
掔	かん,けん,かた
掕	りょう,と
掖	えき,たす,わきばさ
掘	くつ,ほ
掙	そう,しょう,さ
掚	りょう,かざ
掛	かい,けい,か,が,かかり,がかり
掞	えん,せん,の
掟	とう,ちょう,じょう,てい,おきて
掠	りゃく,りょう,かす
採	さい,と
探	たん,さぐ,さが
掣	せい,せつ,ひ
掤	ひょう,ふた
接	せつ,しょう,つ
掦	てき,ちゃく,かか
控	こう,ひか
推	すい,お
掩	えん,おお
措	そ,お
掫	そう,しゅう,まも,たきぎ,う
掬	きく,こく,むす,すく,たなごころ
掭	てん
掮	けん,かつ
掯	こう,とどこお
掲	けい,かか
掴	かく,つか
掵	はば
掻	そう,か
掽	ほう,ひょう,つ,はえずみ
掾	えん,てん,じょう
揀	かん,けん,えら
揁	てい,ちょう,こう,きょう,ひ
揃	せん,そろ,き
揄	よう,ゆう,ゆ
揅	けん,みが
揆	き,はかりごと,はか
揈	こう,けん,きく,う
揉	じゅう,も
揎	せん,かか
描	びょう,えが,か
提	てい,ちょう,だい,さ
揑	げつ,げち,ねつ,こねあ
插	そう,さ,はさ
揓	し,と
揔	そう,す,すべ,みな,ひき,すす
揕	ちん,う,さ
揖	いつ,ゆ,しゅう,ゆう
揚	よう,あ
換	かん,か
揜	えん,あん,おん,と
揠	さつ,あつ,ぬ,ふだ
握	あく,にぎ
揣	し,すい,たん,はか
揥	てい,たい,てき,ちゃく,こうがい
揩	かい,かつ,ぬぐ
揪	しゅう,しゅ,あつ
揬	とつ,どち,つ,こす,ふ
揭	けい,けつ,かかげる
揮	き,ふる
揲	せつ,ぜち,ちょう,じょう,かぞ
揳	せつ,せち,けつ,けち,かつ,ただ
援	えん
揵	けん,ごん,あ
揶	や,からか
揷	そう,さす,にない,とる
揸	さ,つま
揹	はい,せお
揺	よう,ゆ,うご
搆	こう
搉	かく,う
搊	しゅう,しゅ,す
損	そん,そこ,そこな
搏	はく,う,と
搐	ちく,いた
搒	ほう,ひょう,おお
搓	さ,さい,よ
搔	そう,か
搖	よう,ゆ,うご
搗	とう,つ,か
搘	し,ささ
搜	そう,しゅ,しゅう,さが
搞	こう,きょう,たた
搠	さく,ぬ
搢	しん,せん,せい,さい,はさ
搤	あく,せく,えつ,えち,とら
搥	たい,つい,ずい,なげう
搦	じゃく,じょく,だく,にゃく,から,がら
搨	とう,う,す
搩	けつ,げち,たく,ちゃく,かつ
搪	とう,は
搬	はん
搭	とう
搯	とう,とりだ
搰	こつ,ほ
搴	けん,と,ぬ
搵	おん,しず,おさ
搶	そう,しょう,つ
携	けい,たずさ
搽	た
搾	さく,しぼ
搿	かく
摂	せつ,しょう,おさ,かね,と
摋	さつ,さち,せつ,せち,う
摎	く,きゅう
摏	しょう,しゅ,つ
摑	かく,つか
摒	へい,ひょう,はら
摓	ほう,ぶ,ふう,ぬ
摔	しゅつ,しゅち
摘	てき,つ
摚	とう,ちょう,と
摛	ち,り,しく,の
摜	かん,なら
摝	ろく,ろう,る,うごか
摟	ろう,る,ひ
摠	そう,す,ふさ
摡	かい,き,け,あら
摣	さ,しゃ,だ,な,さい,せ
摧	さい,さ,くだ
摩	ま,さす,す
摭	せき,しゃく,ひろ
摯	し,いた,つか,にえ
摳	こう,く,おう,う,ひろ
摴	ちょ,ち,の
摶	たん,せん,まる
摸	も,もう,ばく,ぼ,まく
摺	しょう,しゅう,ろう,す,ひだ
摻	さん,せん,しん,と
摽	ひょう,ほう,う
撃	げき,う
撅	けつ,かち,けい,け,あつ
撇	へつ,へち,へい,ぬぐ
撈	ろう,りょう
撏	さん,しん,と
撐	ちょう,とう,ささ,あ
撑	ちょう,とう,ささ,あ
撒	さん,さつ,ま
撓	とう,きょう,こう,じょう,たわ,しな
撕	せい,し
撘	とう
撙	そん,おさ
撚	ねん,よ,より,ひね
撛	りん,たす,ぬ
撝	き,い,はな
撞	どう,とう,しゅ,つ
撟	きょう,こう
撡	そう,さん,みさお,あやつ
撣	たん,せん,も
撤	てつ
撥	はつ,ばち,は,おさ
撦	しゃ,さ
撨	しょう,そう,す,えら,と,ぬぐ
撩	りょう,ろう
撫	ぶ,ふ,な
撬	きょう,あ
播	は,ばん,はん,ま
撮	さつ,と,つま,ど
撰	さん,せん,えら
撲	ぼく
撳	きん,おさ
撹	かく,こう,みだ
撻	たつ,むちうつ
撼	かん,うごか
撽	こう,きょう,けき,きゃく,たた
撾	た,て,か,う
撿	れん,けん,こまね
擁	よう
擂	らい,す
擄	りょ,ろ,とりこ
擅	せん,ほしいまま
擇	たく,えら
擉	さく,たく,しょく,ぞく,さ
擊	げき,う
擋	とう,さ
擌	さく,ちゃく,もちざお
操	そう,さん,みさお,あやつ
擎	けい,ぎょう,ささ
擐	かん,けん,せん,つらぬ
擑	せつ,しょう,つ
擒	きん,とら,とりこ
擔	たん,かつ,にな
擕	けい,たずさ
擗	へき,ひゃく,はく
擘	はく,ひゃく,へき,さ
據	きょ,こ,よ
擠	せい,さい,お
擡	たい,もた
擢	てき,たく,ぬ,ぬき
擣	とう,う,つ
擤	こう,きょう,か
擥	らん,と
擦	さつ,す,ず,こす
擧	きょ,あ,こぞ
擩	じゅ,にゅ,ずい,に,ひた
擪	よう,ちょう,じょう,にょう,おう,えん
擬	ぎ,まが,もど
擭	きょ,わく,あ
擯	ひん,しりぞ
擰	どう,にょう,みだ
擱	かく,お
擲	てき,ちゃく,じゃく,なぐ,なげう
擴	かく,こう,ひろ
擵	ま,さ,す
擶	せん,ただす
擷	けつ,つまばさ,はさ
擺	はい,ひら
擻	そう,す,あ
擽	りゃく,らく,れき,ふき,くすぐ,う
擾	じょう,みだ,わずら
擿	てき,じゃく,ちゃく,か
攀	はん,よ
攁	よう,ひらきうごか
攄	ちょ,の
攅	さん,あつ
攈	くん,きん,ひ,ひろ,と
攉	かく
攊	りゃく,らく,れき,くす,う
攏	ろう,る,と
攓	けん,と
攔	らん,さえぎ
攖	えい,よう,せむ
攘	じょう,ぬす,はら
攙	せん,しん,さん,さ
攛	さん,なげう
攜	けい,たずさ
攝	せつ,しょう,おさ,かね,と
攞	ら,えら,さ
攟	くん,きん,ひ,ひろ,と
攢	さん,あつ
攣	れん,つ,ひ
攤	たん,ひら
攦	れい,らい,し,り,お,ねじ
攩	とう,こう,おう,たも,とも,たた
攪	かく,こう,みだ
攫	かく,さら,つか
攬	らん,と
攮	どう,ぬ,お
支	し,ささ,つか,か
攱	き,の,こしか,まくら
攲	き,かたむ,そばだ
攴	ほく
攵	ほく
收	しゅう,おさ
攷	こう,かんが
攸	ゆう,ところ
改	かい,あらた
攺	い,し
攻	こう,せ
攼	かん,もと,え,と
攽	はん,ひん,わ
放	ほう,はな,っぱな,こ
政	せい,しょう,まつりごと,まん
敃	びん,みん,ふん,つと
故	こ,ゆえ,ふる,もと
敇	さく,しゃく,むちう
效	こう,き,ききめ,なら
敉	み,ひ,な
敍	じょ,つい,ついで
敏	びん,さとい
敐	しん,じん,よろこんでうご
救	きゅう,すく
敒	ちん,しん,しょう,おさ,の
敔	ぎょ,ご,さしと
敕	ちょく,いまし,みことのり
敖	ごう,あそ,おご
敗	はい,やぶ
敘	じょ,つい,ついで
教	きょう,おし,おそ
敝	へい,やぶ
敞	しょう,たか,ほが,ひろ
敟	てん,つかさど,つね
敠	たつ,たち,せつ,せち,はか
敢	かん,あ
散	さん,ち,ばら
敦	とん,たい,だん,ちょう,あつ
敧	き,はさ
敫	せく,きょう,けき,きゃく,やく,うつ
敬	けい,きょう,うやま
数	すう,す,さく,そく,しゅ,かず
敲	こう,たた
整	せい,ととの
敵	てき,かたき,あだ,かな
敷	ふ,し
數	すう,す,さく,そく,しゅ,かず
敺	く,か
敽	きょう,つな
斁	えき,せく,と,ず,いや
斂	れん,おさ
斃	へい,たお
斅	がく,まな
文	ぶん,もん,ふみ,あや
斈	がく,まな
斉	せい,さい,そろ,ひと,あたる,はやい
斊	せい,さい,そろ,ひと,あ,はや
斌	ひん,ふん,うるわ,あき
斎	さい,とき,つつし,ものいみ,い,いわ
斐	ひ,い
斑	はん,ふ,まだら
斒	はん,へん,まだら
斕	らん,れん,あや
斗	と,とう
斘	しょく,しょう,のぼ
料	りょう
斛	こく,と
斜	しゃ,なな,はす
斝	か,け,うつわ
斟	しん,く
斠	かく,こう,きょう,はか
斡	あつ,かん,わつ,めぐ
斣	しゅく,とう,つ,しょく,そく,かえあ
斤	きん
斥	せき,しりぞ
斦	ぎん,ごん,しつ,しち,あき
斧	ふ,おの
斫	しゃく,き
斬	ざん,さん,せん,ぜん,き
断	だん,た,ことわ,さだ
斮	さく,しゃく,き
斯	し,か,こう,この,これ,ここに
新	しん,あたら,あら,にい
斲	きゅう,たく,き
斳	きん,こん,せり
斴	りん
斷	だん,た,ことわ,さだ
方	ほう,かた,がた
於	お,よ,おい,ああ,より
施	し,せ,ほどこ
斿	よう,よ,りゅう,る,ゆう,はたあし
旁	ぼう,ほう,つくり,かたがた,かたわら
旂	き,げ,はた
旃	せん,はた
旄	ぼう,もう
旅	りょ,たび
旆	はい,はた
旈	りゅう,はたあし
旉	ふ,し
旋	せん,め,いばり
旌	せい,しょう,あら,はた
旎	じ,に,だ,たなび
族	ぞく
旐	ちょう,じょう
旒	りゅう,はたあし
旔	けん,こん,かつ
旖	い,なび
旗	き,はた
旘	し,のぼり
旙	へん,はん,はた
旛	へん,はん,はた
旟	よ,はた,あ
无	ぶ,む,なし,ない
旡	き,け,む,なし
既	き,すで
日	にち,じつ,ひ,び,か
旦	たん,だん,あき,あきら,ただし,あさ
旧	きゅう,ふる,もと
旨	し,むね,うま
早	そう,さっ,はや,さ
旬	じゅん,しゅん
旭	きょく,あさひ
旰	かん,く
旱	かん,ひでり
旲	たい,えい,ひかげ,おお
旴	く,あさ
旵	たん,てん
旹	じ,とき
旺	おう,さかん
旻	びん,みん,あきぞら
旾	しゅん,は
旿	ご,あき
昀	いん
昂	こう,ごう,あ,たか
昃	しょく,そく,かたむ
昄	はん,へん,おお
昆	こん
昇	しょう,のぼ
昈	こ,あき
昉	ほう,あき
昊	こう,そら
昌	しょう,さかん
昍	けん,かん,あき
明	めい,みょう,みん,あ,あか,あき
昏	こん,くら,くれ
昑	きん,あき
昒	こつ,こち,ぶつ,もち,よあ
易	えき,い,やさ,やす
昔	せき,しゃく,むかし
昕	きん,こん,き,あさ
昖	えん,めぐ
昜	よう
昝	さん
昞	へい,ひょう,ほう,あき
星	せい,しょう,ほし,ぼし
映	えい,うつ,は,ば
昡	けん
昢	ほつ,はち,はい,よあ
昣	しん,あき
昤	れい,りょう
春	しゅん,はる
昦	こう,そら
昧	まい,ばい,くら,むさぼ
昨	さく
昩	ばつ,まち,くも,ほし
昪	へん,たの,あき
昫	く,きょう,あたた
昬	こん,くら,く
昭	しょう
昮	しょう,じゅ
是	ぜ,し,これ,この,ここ
昰	ぜ,し,これ
昱	いく,あき
昳	てつ,でち,いつ,かたむ
昴	こう,ぼう,すばる
昵	じつ,しょく,ちかづ
昶	ちょう
昷	おん,めぐ
昹	あい
昼	ちゅう,ひる
昿	こう,あきらか,むな
晀	ちょう,あき
晁	ちょう,あさ
時	じ,とき,どき
晃	こう,あきらか
晄	こう,あきらか
晅	けん,かん,あき
晆	かい,わか
晉	しん,すす
晊	しつ,しち,おお
晋	しん,すす
晌	しょう,まひる
晎	こう,く,あけか
晏	あん,おそ
晑	きょう,こう,あき
晒	さい,し,さら,さらし
晗	かん,ごん
晘	かん,げん
晙	しゅん,あき
晚	ばん,くれ,おそい
晛	けん,でん,ねん,ひがあらわ,ひざ
晜	こん,あに
晝	ちゅう,ひる
晞	き,かわ
晟	せい,じょう,あきらか
晠	せい,じょう,あき
晡	ほ,ふ,ゆうがた
晢	せい,せつ,あきらか
晤	ご,あきらか
晦	かい,つごもり,くら,みそか
晧	こう
晨	しん,あした,とき,あさ
晩	ばん
晪	てん,あき
晫	たく,あき
晬	さい,すい,ひとまわり
普	ふ,あまね,あまねし
景	けい
晰	しゃく,せき,あきらか
晳	せき,しゃく,あき
晴	せい,は,ば
晵	けい,けん,は
晶	しょう
晷	き,かげ
晸	てい,ちょう
晹	えき,せく,せき,しゃく,かげ
智	ち
晻	あん,おん,えん,くら
晼	えん,おん
晾	りょう,さらす
晿	しょう
暀	おう,さかん
暁	ぎょう,きょう,あかつき,さと
暃	ひ
暄	けん,あたたか
暇	か,ひま,いとま
暈	うん,ぼか,ぼけ,かさ,くま,ぼかし
暉	き,かが
暋	びん,こん,つと
暌	けい,け,く
暍	えつ,おち,あつ,あち,あつさあたり
暎	えい,よう,うつ,は
暐	い,ひざし
暑	しょ,あつ
暒	せい,は
暖	だん,のん,あたた
暗	あん,くら,くれ
暘	よう
暙	しゅん
暚	よう,ひのひかり,あき
暛	さ,あき
暜	ふ,あまね
暝	めい,みょう,くら
暟	かい,てらい
暠	こう
暢	ちょう,のび
暤	こう,あき
暦	れき,りゃく,こよみ
暫	ざん,しばら
暭	こう,あき
暮	ぼ,く
暱	じつ,にち,ちかづ
暲	しょう
暴	ぼう,ばく,あば
暵	かん,かわ
暸	りょう,あきらか
暹	せん
暻	けい,きょう,あき
暼	へつ,へち
暾	とん,あさひ
暿	き,あつ
曀	えい,い,くも
曁	き,およ
曂	こう,おう,あき
曃	たい
曄	よう,かが
曆	れき,りゃく,こよみ
曇	どん,くも
曈	とう,つ,ほのぐら
曉	きょう,ぎょう,あかつき,さと
曌	しょう,て
曎	えき,やく,ひか
曏	きょう,こう,しょう,さきに
曔	けい,ぎょう,あき,かわ
曖	あい,くら
曙	しょ,あけぼの
曚	もう,ぼう,くら
曛	くん,たそがれ
曜	よう
曝	ばく,ほく,ぼく,さら
曟	しん,あした,とき,あさ
曠	こう,あきらか,むな
曦	ぎ,き
曨	ろう,る,おぼろ
曩	のう,どう,さき
曫	らん,ばん,まん,れん,たそがれ
曬	さい,し,さら,さらし
曮	がん,ごん,げん
曰	えつ,いわ,のたま,ここに
曲	きょく,ま,くま
曳	えい,ひ
更	こう,さら,ふ
曵	えい,ひ
曷	かつ,なんぞ,いつ,いずくんぞ,なに
書	しょ,か,が,がき
曹	そう,ぞう
曺	そう,つかさ,ともがら,へや
曻	しょう,のぼ
曼	まん,ばん,なが
曽	そう,そ,ぞう,かつ,かつて,すなわち
曾	そう,そ,ぞう,かつ,か,すなわち
替	たい,か
最	さい,しゅ,もっと,つま
會	かい,え,あ,あつ
朅	けつ,けち,こち,さる
朇	ひ,おぎな,たす,ます
月	げつ,がつ,つき
有	ゆう,う,あ
朋	ほう,とも
服	ふく
朎	れい,りょう,つきのうつくしいひかり
朏	ひ,はい
朒	にく,じく
朓	ちょう
朔	さく,ついたち
朕	ちん
朖	ろう,ほが,あき
朗	ろう,ほが,あき
朙	めい,みょう,みん,あ,あか,あき
望	ぼう,もう,のぞ,もち
朜	とん,つきのひかり
朝	ちょう,あさ
朞	き,ご
期	き,ご
朠	えい,よう
朢	ぼう,もう,もちづき
朦	もう,ぼう,おぼろ
朧	ろう,おぼろ
木	ぼく,もく,き,こ
未	み,び,いま,ま,ひつじ
末	まつ,ばつ,すえ,うら,うれ
本	ほん,もと
札	さつ,ふだ
朮	じゅつ,しゅつ,ちゅつ,もちあわ,おけら
朱	しゅ,あけ
朳	はつ,はち,えぶり
朴	ぼく,ほう,ほお,えのき
朶	だ,た,えだ
朷	とう
朸	りょく,おおご,おうご
机	き,つくえ
朽	きゅう,く
朾	とう,じょう,てい,ちょう,つ
朿	し,とげ
杁	いり
杅	う,ゆのみ
杆	かん,てこ
杇	お,う,こ,こて,ぬ
杈	さ,しゃ,さい,えだ
杉	さん,すぎ
杌	ごつ,ごち,ぐつ,ぐち,きりかぶ
李	り,すもも
杏	きょう,あん,こう,あんず
材	ざい
村	そん,むら
杓	しゃく,ちょう,てき,ひょう,ひしゃく
杔	たく,ちゃく,うつぎ,さけこし
杕	てい,だい,た
杖	じょう,つえ
杙	よく,くい
杜	と,とう,ず,もり,ふさ,やまなし
杝	ち,し,い,まがき
杞	こ,き
束	そく,たば,つか
杠	こう,ちぎり,てこ
条	じょう,ちょう,でき,えだ,すじ
杢	もく
杣	そま
杤	とち
来	らい,たい,く,きた,き,こ
杦	すぎ
杪	びょう,しょう,こずえ
杬	げん,がん,ふじもどき
杭	こう,くい
杮	はい,こけら
杯	はい,さかずき
杰	けつ,げち,すぐ
東	とう,ひがし
杲	こう,あきらか,たか
杳	よう,くら,はるか
杴	けん,こん,すき
杵	しょ,そ,きね
杶	ちゅん
杷	は,つか
杻	ちゅう,ちゅ,しゅう,にゅ,てかせ
杼	ちょ,しょ,ひ,どんぐり
松	しょう,まつ
板	はん,ばん,いた
极	きょう,ごう,にぐら
构	こう,かま
枅	けい,ひじき
枇	び,ひ
枉	おう,ま
枋	ほう,へい,ほ
枌	しょう,ふん,まつ,そぎ
枎	ふ,しげ
枏	なん,だん,ぜん,ねん,くす,くすのき
析	せき
枑	こ,やらい
